City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,port alfred,-33.5906,26.891,10.1,79,48,4.02,ZA,1727727536
115,san jose del guaviare,2.5729,-72.6459,32.18,48,97,1.19,CO,1727727484
116,okotoks,50.7289,-113.9828,13.01,48,12,2.88,CA,1727727323
117,lingig,8.0389,126.4125,23.82,90,85,1.36,PH,1727727542
118,kirakira,-10.4544,161.9205,26.41,78,6,2.18,SB,1727727543
119,puntarenas,9.9763,-84.8384,27.02,80,100,1.69,CR,1727727545
120,chonchi,-42.6128,-73.8092,10.07,54,86,2.52,CL,1727727546
121,tolanaro,-25.0319,46.9987,23.04,83,0,8.23,MG,1727727548
122,kapa'a,22.0752,-159.319,27.18,79,75,4.12,US,1727727549
123,okha,53.5739,142.9478,4.27,93,100,5.09,RU,1727727550
124,lihue,21.9789,-159.3672,26.77,80,75,4.12,US,1727727553
125,valdivia,-39.8142,-73.2459,12.05,64,100,2.78,CL,1727727296
126,mildura,-34.2,142.15,6.71,84,4,3.2,AU,1727727556
127,raduzhny,62.0961,77.475,9.46,76,100,5.22,RU,1727727558
128,cockburn town,21.4612,-71.1419,29.16,71,7,4.46,TC,1727727559
129,tshikapa,-6.4167,20.8,26.43,56,62,1.3,CD,1727727561
130,leava,-14.3,-178.1667,26.31,85,85,8.47,WF,1727727562
131,gulbene,57.1777,26.7529,5.45,68,100,2.23,LV,1727727564
132,sisimiut,66.9395,-53.6735,4.65,85,100,0.44,GL,1727727565
133,qaqortoq,60.7167,-46.0333,3.68,98,100,2.06,GL,1727727566
134,lata,40.1629,-8.3327,15.39,94,77,1.01,PT,1727727568
135,sao felix do xingu,-6.6447,-51.995,28.63,60,70,1.82,BR,1727727569
136,kuala lipis,4.1842,102.0468,22.44,100,100,0.27,MY,1727727571
137,colonia,50.9333,6.95,15.49,85,0,4.63,DE,1727727374
138,korla,41.7597,86.1469,13.28,51,55,1.2,CN,1727727574
139,isafjordur,66.0755,-23.124,0.7,81,100,5.77,IS,1727727575
140,sun city west,33.662,-112.3413,40.64,17,0,2.06,US,1727727577
141,tindouf,27.6711,-8.1474,32.25,20,0,1.03,DZ,1727727578
142,st. john's,47.5649,-52.7093,14.04,92,100,3.58,CA,1727727573
143,pacific grove,36.6177,-121.9166,23.57,80,0,3.58,US,1727727581
144,malangas,7.6303,123.0317,25.09,90,100,1.39,PH,1727727582
145,kalabo,-14.97,22.6814,26.5,27,63,1.89,ZM,1727727584
146,lecheng,25.1238,113.3254,21.52,90,58,4.64,CN,1727727585
147,sola,-13.8833,167.55,26.54,76,15,1.86,VU,1727727586
148,lethbridge,49.7,-112.8186,13.27,35,20,2.57,CA,1727727588
149,gadzhiyevo,69.2551,33.3362,2.23,75,8,8.75,RU,1727727589
150,saint-francois,46.4154,3.9054,15.92,70,75,1.03,FR,1727727591
151,rondonopolis,-16.4708,-54.6356,39.2,17,100,2.75,BR,1727727592
152,lompoc,34.6391,-120.4579,25.29,61,3,4.12,US,1727727594
153,bentiu,9.2333,29.8333,22.81,90,95,1.35,SS,1727727595
154,puerto ayora,-0.7393,-90.3518,21.42,91,94,3.58,EC,1727727596
155,anadyr,64.75,177.4833,7.28,93,75,8.0,RU,1727727598
156,gao,16.6362,1.637,36.63,24,79,0.16,ML,1727727599
157,kununurra,-15.7667,128.7333,18.99,94,0,0.51,AU,1727727601
158,chui,-33.6971,-53.4616,23.31,78,100,4.19,UY,1727727602
159,makoua,0.0069,15.6333,23.06,93,32,0.94,CG,1727727604
160,deyang,31.1302,104.382,16.58,92,39,1.3,CN,1727727605
161,manggar,-2.8833,108.2667,26.5,82,100,2.94,ID,1727727606
162,turbat,26.0023,63.044,28.14,66,5,4.49,PK,1727727390
163,nova sintra,14.8667,-24.7167,26.99,85,4,4.3,CV,1727727609
164,minas de marcona,-15.2119,-75.1103,17.29,67,80,6.63,PE,1727727433
165,morteros,-30.7116,-61.9986,42.47,15,6,6.8,AR,1727727612
166,howard springs,-12.497,131.047,25.46,76,57,2.31,AU,1727727614
167,jaipur,26.9167,75.8167,27.62,78,40,2.06,IN,1727727615
168,general pinedo,-27.3167,-61.2833,42.53,15,0,10.5,AR,1727727617
169,sao jose da coroa grande,-8.8978,-35.1478,24.19,77,86,5.11,BR,1727727618
170,daru,-9.0763,143.2092,24.99,75,37,6.22,PG,1727727619
171,keflavik,64.0049,-22.5624,3.24,81,75,1.03,IS,1727727621
172,parabel',58.6978,81.4825,12.48,85,100,5.02,RU,1727727622
173,emod,47.9333,20.8167,9.17,65,5,3.27,HU,1727727624
174,olyokminsk,60.3736,120.4264,3.0,97,100,5.08,RU,1727727625
175,nizhnesortymskiy,62.4397,71.7603,8.82,83,92,4.84,RU,1727727513
176,mannarakkat,10.9833,76.4667,24.68,89,69,0.97,IN,1727727628
177,georgetown,5.4112,100.3354,25.97,84,20,2.06,MY,1727727455
178,cooper's town,26.8667,-77.5167,28.73,69,50,3.24,BS,1727727631
179,sungai penuh,-2.0833,101.3833,18.52,94,95,1.59,ID,1727727579
180,yanchep,-31.55,115.6833,11.5,72,10,2.74,AU,1727727635
181,san luis de la loma,17.2706,-100.8939,28.32,77,41,2.02,MX,1727727636
182,northam,51.0333,-4.2167,13.12,92,39,6.78,GB,1727727638
183,yarmouth,41.7057,-70.2286,19.51,75,20,3.13,US,1727727639
184,salekhard,66.53,66.6019,4.43,71,49,9.4,RU,1727727641
185,sterling,39.0062,-77.4286,19.01,85,100,3.09,US,1727727642
186,valparaiso,-33.0393,-71.6273,17.22,63,20,7.72,CL,1727727453
187,cidreira,-30.1811,-50.2056,21.81,77,64,5.24,BR,1727727645
188,podgornoye,51.735,39.1496,18.12,32,20,4.0,RU,1727727646
189,al ghayzah,16.2079,52.176,26.58,78,79,4.55,YE,1727727648
190,piton saint-leu,-21.2196,55.3151,20.06,68,0,1.54,RE,1727727649
191,narrabri,-30.3167,149.7833,10.85,90,0,1.79,AU,1727727651
192,bredasdorp,-34.5322,20.0403,8.7,72,33,3.61,ZA,1727727652
193,birao,10.2849,22.7882,22.59,86,100,2.37,CF,1727727654
194,enumclaw,47.2043,-121.9915,18.34,54,38,1.34,US,1727727655
195,albacete,38.8333,-2.0,18.45,55,0,2.57,ES,1727727656
196,lubin,51.4009,16.2015,8.46,62,4,3.65,PL,1727727407
197,mitu,1.1983,-70.1733,30.81,55,98,0.55,CO,1727727659
198,makaha,21.4694,-158.2175,28.95,83,100,3.09,US,1727727661
199,constantia,44.1833,28.65,9.38,90,100,13.67,RO,1727727662
200,dudinka,69.4058,86.1778,3.54,97,100,2.72,RU,1727727664
201,zhalantun,48.0,122.7167,2.46,55,1,2.75,CN,1727727665
202,sulak,43.2734,47.5146,19.15,67,0,12.01,RU,1727727666
203,paros,37.0833,25.15,21.84,63,0,2.57,GR,1727727668
204,timbuktu,16.7735,-3.0074,37.61,23,1,1.69,ML,1727727669
205,khandyga,62.6667,135.6,-0.59,91,99,1.06,RU,1727727671
206,djibo,14.1022,-1.6306,34.31,37,1,1.03,BF,1727727672
207,chilca,-12.5211,-76.7372,17.08,86,100,4.89,PE,1727727674
208,new norfolk,-42.7826,147.0587,13.29,74,70,5.04,AU,1727727675
209,warud,21.4667,78.2667,23.93,90,50,1.3,IN,1727727678
210,bodaybo,57.8506,114.1933,2.26,95,100,2.45,RU,1727727644
211,san isidro de curuguaty,-24.5167,-55.7,41.23,13,6,5.27,PY,1727727681
212,vila franca do campo,37.7167,-25.4333,24.23,94,48,4.74,PT,1727727682
213,camana,-16.6228,-72.7111,17.04,88,99,3.53,PE,1727727685
214,xinyuan,37.3,99.0,-1.29,23,5,2.26,CN,1727727686
215,ust'-barguzin,53.45,108.9833,4.38,81,100,4.17,RU,1727727688
216,tortoli,39.9256,9.6572,21.1,86,0,2.57,IT,1727727689
217,bahia blanca,-38.7196,-62.2724,22.12,26,55,2.24,AR,1727727623
218,lower hutt,-41.2167,174.9167,13.95,82,75,7.2,NZ,1727727692
219,nako,31.8814,78.627,13.14,66,50,0.79,IN,1727727693
220,chinde,26.8212,87.7095,23.37,89,15,1.49,NP,1727727695
221,sanya,18.2431,109.505,27.09,89,0,1.0,CN,1727727696
222,vilyuchinsk,52.9306,158.4028,8.15,77,100,2.86,RU,1727727698
223,stanley,54.868,-1.6985,10.71,95,75,3.6,GB,1727727699
224,aykhal,66.0,111.5,1.54,100,100,1.29,RU,1727727701
225,corcoran,36.098,-119.5604,31.16,17,0,2.24,US,1727727702
226,taunggyi,20.7833,97.0333,19.21,99,100,1.57,MM,1727727703
227,tofol,5.3248,163.0078,29.61,71,95,8.12,FM,1727727705
228,la passe,45.5549,-0.8967,16.84,81,100,2.81,FR,1727727706
229,adh dhayd,25.2881,55.8816,29.06,63,0,3.58,AE,1727727708
230,lamu,-2.2717,40.902,24.52,88,97,3.9,KE,1727727527
231,ubari,26.5921,12.7805,28.63,33,0,2.76,LY,1727727711
232,namsos,64.4662,11.4957,9.95,66,0,7.2,NO,1727727712
233,jiuquan,39.7432,98.5174,7.02,23,0,1.59,CN,1727727713
234,woodward,36.4337,-99.3904,35.54,18,0,4.12,US,1727727715
235,zapolyarnyy,69.4154,30.8136,0.77,75,13,5.88,RU,1727727716
236,yelizovo,53.1873,158.3805,8.08,61,75,2.0,RU,1727727718
237,saudarkrokur,65.7461,-19.6394,0.78,80,100,4.14,IS,1727727719
238,happy valley-goose bay,53.3168,-60.3315,14.17,47,20,0.0,CA,1727727720
239,sabha,27.0377,14.4283,27.88,36,0,5.74,LY,1727727722
240,anshun,26.25,105.9333,11.21,89,100,8.95,CN,1727727723
241,pangai,-19.8,-174.35,25.06,65,75,7.2,TO,1727727725
242,nelson bay,-32.7167,152.15,13.33,89,3,3.13,AU,1727727726
243,sitka,57.0531,-135.33,11.94,54,100,9.77,US,1727727729
244,new berlin,42.9764,-88.1084,26.59,61,40,4.12,US,1727727730
245,saint-hyacinthe,45.6168,-72.9491,23.34,63,0,3.11,CA,1727727732
246,fale old settlement,-9.3852,-171.2468,27.74,76,20,3.73,TK,1727727733
247,alta,69.9689,23.2717,4.59,74,0,25.93,NO,1727727735
248,hamilton,39.1834,-84.5333,24.95,83,75,2.06,US,1727727489
249,lorengau,-2.0226,147.2712,27.87,80,35,4.92,PG,1727727738
250,neftegorsk,52.802,51.166,14.47,34,6,2.76,RU,1727727739
251,inhambane,-23.865,35.3833,22.69,86,73,5.44,MZ,1727727740
252,kerikeri,-35.2268,173.9474,15.51,91,100,2.24,NZ,1727727742
253,kagal,16.5833,74.3167,23.64,88,94,2.03,IN,1727727743
254,madimba,-10.4,40.3333,23.63,87,4,2.14,TZ,1727727745
255,amga,60.8953,131.9608,0.29,99,100,2.84,RU,1727727746
256,mao,39.8885,4.2658,19.31,77,0,2.57,ES,1727727748
257,road town,18.4167,-64.6167,31.02,70,40,2.57,VG,1727727695
258,qarauyl,48.9451,79.255,8.2,29,7,1.89,KZ,1727727751
259,laurens,32.4502,-82.9165,31.27,54,48,5.39,US,1727727752
260,gariaband,20.635,82.0614,23.83,96,95,1.55,IN,1727727753
261,kolyshley,52.7005,44.5367,14.16,29,5,3.8,RU,1727727755
262,ivolginsk,51.7492,107.2837,-5.19,93,100,1.0,RU,1727727756
263,katsuura,35.1333,140.3,22.73,96,100,7.27,JP,1727727758
264,severo-yeniseyskiy,60.3725,93.0408,6.6,97,100,4.69,RU,1727727759
265,pass christian,30.3158,-89.2475,31.03,55,75,4.12,US,1727727493
266,thunder bay,48.4001,-89.3168,22.95,56,40,7.2,CA,1727727762
267,chirilagua,13.2203,-88.1386,25.04,96,93,1.1,SV,1727727763
268,enewetak,11.3474,162.3373,29.1,74,79,7.12,MH,1727727766
269,iquique,-20.2208,-70.1431,17.89,75,100,4.8,CL,1727727238
270,nar'yan-mar,67.6713,53.087,4.21,76,42,10.69,RU,1727727769
271,tieling,42.2931,123.8414,6.44,92,17,0.7,CN,1727727771
272,fort-shevchenko,44.5086,50.263,19.02,36,0,6.96,KZ,1727727772
273,port mathurin,-19.6833,63.4167,22.35,80,0,9.39,MU,1727727773
274,mutare,-18.9707,32.6709,23.07,26,12,0.97,ZW,1727727775
275,fisterra,42.9049,-9.2629,17.65,97,100,5.92,ES,1727727776
276,greymouth,-42.4667,171.2,8.78,85,97,2.18,NZ,1727727778
277,jasper,37.2001,-94.3502,30.05,51,75,3.09,US,1727727290
278,charters towers,-20.1,146.2667,17.23,91,5,1.62,AU,1727727781
